name,citation,id,obligation,constraint,permission,entitlement,MandatoryDelegation,Permissive Delegation,PermissiveProvision,MandatoryProvision,Constraining Provision
Section 0,PL090_284,0,0,0,0,0,0,0,0,0,0
Section 1,PL090_284,1,2,3,1,4,4,0,0,0,0
Section 2,PL090_284,2,2,1,3,7,5,0,0,2,1
Section 3,PL090_284,3,0,0,0,1,1,0,0,0,0
Section 4,PL090_284,4,0,0,0,1,1,0,0,0,0
Section 5,PL090_284,5,1,5,1,4,3,0,0,1,0
Section 6,PL090_284,6,1,0,1,8,7,0,0,0,1
Section 7,PL090_284,7,3,0,1,1,4,0,0,0,0
Section 8,PL090_284,8,8,12,9,15,21,0,0,1,1
Section 9,PL090_284,9,7,16,8,16,19,0,0,1,0
Section 10,PL090_284,10,0,8,12,4,2,0,0,0,0
Section 11,PL090_284,11,0,2,3,1,1,0,0,0,0
Section 12,PL090_284,12,1,0,1,0,1,0,0,0,0
Section 13,PL090_284,13,1,0,1,1,1,0,0,1,0
Section 14,PL090_284,14,0,0,2,1,1,0,0,0,0
Section 15,PL090_284,15,0,3,1,1,1,0,0,0,0
Section 0,PL089_695,0,0,0,1,0,0,0,0,0,0
Section 1,PL089_695,1,35,33,47,160,162,23,23,14,1
Section 2,PL089_695,2,4,2,2,13,13,0,0,2,0
Section 3,PL089_695,3,0,1,1,2,2,0,0,0,0
Section 4,PL089_695,4,0,0,0,1,1,0,0,0,0
Section 5,PL089_695,5,0,1,0,1,1,0,0,0,0
Section 6,PL089_695,6,0,1,2,1,1,0,0,0,0
Section 0,PL090_321,0,36,33,43,63,56,12,12,8,5
Section 0,PL093_234,0,1,0,2,0,0,0,0,0,0
Section 1,PL093_234,1,1,1,1,2,1,0,0,0,0
Section 2,PL093_234,2,1,1,0,2,1,0,0,0,0
Section 3,PL093_234,3,1,1,1,5,3,0,0,0,2
Section 4,PL093_234,4,1,1,0,0,1,0,0,0,0
Section 5,PL093_234,5,0,0,0,0,0,0,0,0,0
Section 6,PL093_234,6,0,0,0,1,1,0,0,0,0
Section 7,PL093_234,7,0,0,0,0,0,0,0,0,0
Section 8,PL093_234,8,0,0,0,0,0,0,0,0,0
Section 9,PL093_234,9,0,1,2,1,1,0,0,0,0
Section 10,PL093_234,10,7,12,5,13,19,0,0,0,0
Section 11,PL093_234,11,0,1,1,0,0,0,0,0,0
Section 12,PL093_234,12,0,1,1,0,0,0,0,0,0
Section 0,PL102_550_4044,0,0,0,0,0,0,0,0,0,0
Section 1,PL102_550_4044,1,0,0,1,0,0,0,0,0,0
Section 2,PL102_550_4044,2,1,0,0,2,1,0,0,0,0
Section 3,PL102_550_4044,3,4,2,0,15,8,0,0,0,0
Section 4,PL102_550_4044,4,2,1,0,7,4,0,0,0,0
Section 5,PL102_550_4044,5,2,2,2,18,13,0,0,0,0
Section 6,PL102_550_4044,6,4,6,6,11,13,0,0,0,0
Section 7,PL102_550_4044,7,0,0,0,0,0,0,0,0,0
Section 8,PL102_550_4044,8,0,0,0,0,0,1,1,0,0
Section 9,PL102_550_4044,9,0,1,0,1,0,0,0,0,0
Section 10,PL102_550_4044,10,5,1,1,2,5,0,0,3,0
Section 11,PL102_550_4044,11,0,1,0,0,0,0,0,0,0
Section 12,PL102_550_4044,12,0,0,0,0,0,0,0,0,0
Section 13,PL102_550_4044,13,0,0,1,0,0,0,0,0,0
Section 14,PL102_550_4044,14,6,0,0,4,6,0,0,3,0
Section 15,PL102_550_4044,15,0,0,0,0,0,0,0,0,0
Section 16,PL102_550_4044,16,0,2,1,0,0,2,2,0,0
Section 17,PL102_550_4044,17,1,0,0,0,1,0,0,0,0
Section 18,PL102_550_4044,18,5,1,1,2,6,0,0,1,0
Section 19,PL102_550_4044,19,1,1,1,1,1,1,1,1,0
Section 20,PL102_550_4044,20,1,3,0,1,2,0,0,0,0
Section 21,PL102_550_4044,21,2,0,2,2,4,1,1,0,0
Section 22,PL102_550_4044,22,0,0,0,0,0,0,0,0,0
Section 23,PL102_550_4044,23,1,0,1,0,1,0,0,1,0
Section 24,PL102_550_4044,24,0,0,0,0,0,0,0,0,0
Section 25,PL102_550_4044,25,0,1,0,0,0,0,0,0,0
